g,c,b,e
TRAF2,9,139780964,139821067
RNASEL,1,182542768,182558394
TTL,2,113239742,113290222
FAM26E,6,116832807,116839709
GSTA5,6,52696540,52710893
GJA8,1,147374945,147381395
GDF9,5,132196877,132200477
GATA6,18,19749403,19782491
RASL10B,17,34058678,34070540
LOC100500773,8,96959212,96960576
ARL5C,17,37313146,37322414
FAM25A,10,88780045,88784487
MIR1248,3,186504460,186504566
MIR1247,14,102026623,102026759
MIR1204,8,128808207,128808274
MIR384,X,76139697,76139785
MIR330,19,46142251,46142345
MIR369,14,101531934,101532004
MIR365B,17,29902429,29902540
MIR302D,4,113569159,113569227
MIR299,14,101490130,101490193
MIR181B2,9,127455988,127456077
MIR936,10,105807846,105807944
PGBD5,1,230457391,230561674
TSPAN5,4,99391517,99579812
MIR4677,1,243509477,243509557
HIF1A-AS2,14,62213756,62215807
EVC,4,5712923,5816031
RPS19BP1,22,39925097,39928860
TMSB15B,X,103217199,103220563
PVRIG,7,99816870,99819111
PRAC,17,46799081,46799882
SUGT1P1,9,33504534,33511164
NOTUM,17,79910382,79919057
DTX3,12,57998603,58003583
ABHD3,18,19230857,19284766
GPR114,16,57576600,57611100
CREG2,2,101964815,102003965
NUFIP2,17,27582853,27621166
LGALSL,2,64681326,64688517
C17orf66,17,34181959,34195895
DEFB109P1,8,12250792,12257874
CETN4P,4,123651343,123653613
RMST,12,97858798,97927544
CLUHP3,16,31711933,31718745
LINC00474,9,118650543,118687377
DANCR,4,53578620,53580305
LINC00112,21,43136595,43137742
LINC00158,21,26758132,26804013
BMP7,20,55743808,55841707
EPB41L3,18,5392387,5543986
MIR586,6,45165410,45165507
MIR548A1,6,18572014,18572111
MIR548A3,3,103903475,103946105
MIR583,5,95414841,95414916
MIR573,4,24521814,24521913
MIR572,4,11370450,11370545
MIR581,5,53247333,53247429
MIR570,3,195426271,195426368
MIR569,3,170824452,170824548
RPS10-NUDT3,6,34254972,34393902
DRG2,17,17991180,18011299
SPATA24,5,138732455,138739776
SASS6,1,100549101,100598511
KCTD19,16,67323392,67360661
CSNK2A3,11,11373488,11374904
HAR1B,20,61726844,61733671
LOC100133985,2,70351167,70352448
LOC100133920,9,69651360,69664949
LOC728989,1,146490894,146514599
LOC731779,8,142350647,142354720
LOC729121,2,108439519,108442583
ACTG1P4,1,104112025,104114008
LOC728323,2,243030843,243102469
MIR100HG,11,121959810,122073770
PGBD4,15,34394273,34396591
RCOR1,14,103058995,103196913
MRPS18C,4,84377117,84382929
MRPS16,10,75008600,75012451
NDUFA13,19,19627018,19639013
ATP6AP2,X,40440215,40465888
KCTD20,6,36410543,36458315
ATG4D,19,10654646,10664094
HIAT1,1,100503788,100548929
MYO1G,7,45002259,45018704
USP34,2,61414589,61697849
EIF4E2,2,233415356,233433920
SMYD2,1,214454564,214510477
XAB2,19,7684410,7694439
SDR39U1,14,24908971,24912007
ACSF2,17,48503518,48552200
COQ10B,2,198318230,198339851
TTC34,1,2572806,2706230
SMCO4,11,93211638,93276546
TAAR6,6,132891460,132892498
DDX51,12,132621139,132628880
SPDYE1,7,44040488,44049723
PLEKHA3,2,179345198,179369782
RBM27,5,145583162,145668784
TALDO1,11,747431,765024
SNTB2,16,69221049,69342955
GPR45,2,105858199,105859924
NXPH2,2,139426726,139537811
NXPH3,17,47653297,47661171
NXPH4,12,57610577,57620232
BPIFB2,20,31595383,31611515
FAM154B,15,82555151,82577267
CLLU1OS,12,92813869,92821924
TRAPPC4,11,118889240,118894385
WDR83OS,19,12778880,12780465
COMMD10,5,115420726,115628978
HSD17B12,11,43702142,43878169
DYNC1LI1,3,32567462,32612366
CHCHD2,7,56169265,56174187
GPRC6A,6,117113247,117150198
OXER1,2,42989638,42991401
OTOS,2,241078445,241080073
ZNF202,11,123594996,123612363
FOXN1,17,26850958,26865175
KIAA0196,8,126036502,126104061
TFDP3,X,132350696,132352376
EXOSC5,19,41892275,41903256
OTOR,20,16729002,16732809
TNFAIP8L2,1,151129104,151132225
NDNF,4,121956781,121993673
LAMC1,1,182992594,183114727
PITHD1,1,24104875,24114722
TRIM49,11,89530822,89541743
CD300LF,17,72690451,72709108
SPPL3,12,121200312,121342155
GOT1,10,101156626,101190530
CXCL14,5,134906370,134914969
TMEM59,1,54497348,54519111
ERCC4,16,14014013,14046205
GDF15,19,18496967,18499986
AKAP5,14,64932216,64941221
EIF2AK3,2,88856258,88927094
NR2F6,19,17342693,17356151
EPHA1,7,143088204,143105985
ELK3,12,96588206,96661606
AIM2,1,159032274,159046647
ARID3A,19,926036,972803
COX19,7,1004485,1015235
CLYBL,13,100258918,100549388
RGPD4,2,108443387,108509000
OR2K2,9,114089762,114090713
MUSTN1,3,52867130,52869235
SLC24A5,15,48413168,48434589
FAM9B,X,8993036,9001116
TMED10P1,8,146220250,146224283
FAM138C,9,34393,35864
RFPL1,22,29834571,29838444
CLMN,14,95648275,95786245
ZNF665,19,53666551,53696619
KLHL36,16,84682130,84695916
ZFP2,5,178322915,178360210
IL17C,16,88705000,88706882
COL1A1,17,48261456,48279000
GLDC,9,6532463,6645692
SPATA31C2,9,90744219,90749900
KIAA1109,4,123091757,123283914
RPGRIP1,14,21756135,21819460
KSR2,12,117890816,118406028
SH3PXD2A-AS1,10,105506536,105515167
LOC100288846,14,39734906,39736265
LOC100507424,12,2945981,2968961
LINC00838,10,34048640,34061608
LOC339975,4,188225236,188426767
LOC100507250,12,69068150,69080639
SDAD1,4,76871067,76912113
LMBR1L,12,49490922,49504680
TMEM38B,9,108456805,108538892
C19orf73,19,49621653,49622397
GPR144,9,127213422,127239379
LOH12CR1,12,12510019,12619838
OLFM3,1,102268126,102462790
NPM2,8,21882353,21894408
HEMK1,3,50606908,50622421
UBAC1,9,138824814,138853226
RAB22A,20,56884770,56942563
S100A14,1,153586731,153588808
CLK4,5,178029664,178054054
MIR2964A,9,131154899,131154987
SEC24D,4,119643977,119757326
TRAPPC12,2,3383445,3483342
WDR60,7,158649268,158738883
FGD4,12,32655040,32798984
GRIP2,3,14530618,14583588
FAM226A,X,72161567,72163589
GTPBP2,6,43588217,43596936
SSPO,7,149473130,149531053
PDCL3P4,3,101431277,101432260
PDE6H,12,15125955,15134799
NR4A2,2,157180943,157189287
GPR137C,14,53019865,53104431
DDB2,11,47236492,47260769
CPOX,3,98298289,98312455
APOE,19,45409038,45412650
COMP,19,18893582,18902114
HBA1,16,226678,227520
SNORD121A,9,33952761,33952852
E2F4,16,67226067,67232821
OR6P1,1,158532440,158533394
MAP2K4,17,11924134,12047051
REL,2,61108751,61150178
SEMG2,20,43850009,43853099
RBMS2,12,56915608,56989980
HDHD3,9,116135697,116138341
ZNF93,19,20011721,20046382
KIF18A,11,28042162,28129746
CABLES2,20,60963685,60982339
DNER,2,230222344,230579286
SDR16C5,8,57212569,57233241
PRSS56,2,233385172,233390425
DCD,12,55038374,55042149
SH2D1B,1,162365055,162381928
FAM167A,8,11278972,11324276
ODF3,11,196760,200258
TAAR8,6,132873831,132874860
CLIC6,21,36041687,36090519
DPP4,2,162848754,162931052
GARS,7,30634180,30673648
FAM229A,1,32826870,32827844
CLDN24,4,184242916,184243579
CEP19,3,196433147,196439123
PSG2,19,43568361,43586893
IER5L,9,131937830,131940540
SIPA1L1,14,71996041,72206120
GALNT1,18,33234532,33291798
IMP3,15,75931425,75932664
OSM,22,30658818,30662829
CBWD6,9,69204537,69262593
C10orf131,10,97667721,97698415
HSPE1,2,198364720,198368187
HSD17B2,16,82068857,82132139
HRC,19,49654455,49658681
RPL7,8,74202873,74205869
ZNF543,19,57831864,57842144
FAM74A3,9,40715523,40722679
R3HCC1,8,23145611,23153792
METTL11B,1,170115187,170136923
ANTXRL,10,47658232,47701443
B4GALT1,9,33110638,33167356
HSPB2,11,111783459,111784817
LOC284865,22,20186252,20192441
TOB1-AS1,17,48944039,48945732
LOC646471,1,26146444,26150097
DSCR4,21,39426312,39493454
MTTP,4,100485239,100545154
NUCKS1,1,205681946,205719372
KIAA0226L,13,46916136,46961635
MOGAT2,11,75428933,75442331
C16orf59,16,2510114,2514964
MYCT1,6,153019029,153045715
GFM1,3,158362316,158410360
FSIP2,2,186603354,186698016
ESYT2,7,158523688,158622319
FAM45A,10,120863610,120897223
C2orf82,2,233734993,233741107
HSPH1,13,31710762,31736117
SDCCAG8,1,243419306,243663393
FLG,1,152274650,152297679
FOXO1,13,41129800,41240734
SLC9A9,3,142984063,143567373
OVOL1,11,65554504,65564690
PRLHR,10,120352915,120355160
ROR2,9,94484877,94712444
NRTN,19,5823817,5828335
MUL1,1,20825940,20834674
SPPL2A,15,50999736,51057910
ZBTB45,19,59024896,59030921
ZNF514,2,95813399,95825263
GPR128,3,100328432,100414323
ZC3H10,12,56512029,56516278
SNORD116-24,15,25339182,25339276
SNORD116-23,15,25336931,25337025
SNORD116-22,15,25335068,25335162
PLSCR5,3,146303624,146324003
PNLIP,10,118305427,118327367
TRA2A,7,23544400,23571656
LRRC37A3,17,62850487,62914903
SPEM1,17,7323678,7324951
TMEM179B,11,62554873,62557872
FAHD2B,2,97749322,97760582
AARD,8,117950463,117956239
IFITM5,11,298200,299526
ZNF718,4,53276,156490
ZBTB8A,1,33004771,33071542
SLC41A1,1,205758220,205782161
LINC00552,13,114451483,114454062
PRKY,Y,7142012,7249588
PMS2P3,7,75137068,75157453
LOC100132832,7,76668796,76682355
KLRAP1,12,10741076,10752434
COL6A4P1,3,15206868,15247466
TRAPPC2L,16,88923505,88927520
LCAT,16,67973786,67978015
EME2,16,1823228,1826239
PATE4,11,125703210,125709967
OR13G1,1,247835419,247836343
OR4M1,14,20248481,20249423
SNORA84,9,95054742,95054875
ATP2C2,16,84402132,84497793
LRRC7,1,70225857,70589171
CCDC19,1,159842153,159869906
LIPN,10,90521162,90537999
DLD,7,107531585,107561643
LOC90246,3,128226677,128229429
TMEM184A,7,1581870,1596066
KRTCAP2,1,155141883,155145804
SERPINA12,14,94953619,94984181
GSC,14,95234559,95236499
FSBP,8,95439939,95449180
GNAS-AS1,20,57393972,57425958
SMEK3P,X,27478327,27481458
TSPY26P,20,30776948,30778163
HIGD2B,15,72968122,72978490
LOC441455,9,99488102,99489749
CCNK,14,99947738,99977852
LOC441454,9,99671356,99672737
PANX3,11,124481452,124490251
RBP7,1,10057254,10076078
ACRC,X,70797873,70833433
FRYL,4,48499379,48782316
ORMDL2,12,56211805,56214959
OR5E1P,11,7870597,7871118
DAD1,14,23033806,23058143
CYLC2,9,105757592,105780770
CTSZ,20,57570241,57582309
CTSW,11,65647283,65651212
MBL2,10,54525139,54531460
SERPINA7,X,105277189,105282718
TAT,16,71600753,71610998
ABCC8,11,17414431,17498449
ABCA4,1,94458393,94586705
STAR,8,38000217,38008600
CALB1,8,91070837,91095107
TLDC2,20,35504569,35522632
GCSAML-AS1,1,247687980,247694106
MGC27382,1,78695282,78835147
FAM201A,9,38621084,38623277
LOC96610,22,22652462,22677324
SSR4P1,21,46490870,46493126
NAP1L6,X,72345875,72347919
LINC00662,19,28281400,28284848
C3P1,19,10152031,10184813
UCKL1-AS1,20,62584736,62588338
LOC399815,10,124639148,124658230
PRKCG,19,54385466,54410901
FOXA3,19,46367517,46377055
GZMB,14,25100160,25103432
WDR5B,3,122130699,122134882
OR1E2,17,3336163,3337135
KRTAP4-7,17,39240458,39241396
LOC286367,9,107536632,107540045
ZBED6,1,203766650,203769590
CYP8B1,3,42913683,42917633
GALNT8,12,4829751,4881892
IL1RAPL2,X,103810995,105011822
MIR1912,X,113886018,113886098
OR52N5,11,5798863,5799897
TTC32,2,20096513,20101744
SGSH,17,78183078,78194199
TTTY14,Y,21094584,21239302
DHODH,16,72042642,72059316
ZNF45,19,44416775,44439411
ZNF35,3,44690232,44702283
MSTN,2,190920425,190927455
GCHFR,15,41056284,41059911
SOAT2,12,53497273,53518323
UTF1,10,135043777,135045062
ZNF282,7,148892576,148923339
ABCB6,2,220074487,220083712
CDH10,5,24487208,24645085
TTLL5,14,76127550,76421425
RPRD1A,18,33569791,33647373
KIAA1551,12,32112352,32146043
C14orf105,14,57936594,57960576
EVA1B,1,36787631,36789755
ASUN,12,27058111,27091254
SH2B3,12,111843751,111889427
ZNF256,19,58452200,58459077
THSD7A,7,11410061,11871824
CACNA2D3,3,54156692,55108584
LOC100133286,21,37441939,37498938
MC5R,18,13825542,13826861
NFIL3,9,94171326,94186144
NEU2,2,233897381,233899767
ST8SIA2,15,92937139,93011958
APPBP2,17,58520519,58603580
MT1A,16,56672577,56673999
HDAC6,X,48660486,48683380
UNC13B,9,35161988,35405332
LGALS4,19,39292310,39303740
PRICKLE3,X,49031905,49042776
TERF2,16,69389463,69419891
DNAJB1,19,14625581,14629201
GZMA,5,54398473,54406080
SFN,1,27189632,27190947
DYNC1LI2,16,66754798,66785525
CPA6,8,68334404,68658620
KRI1,19,10663760,10676702
RANBP17,5,170288895,170727019
LPIN3,20,39969559,39989222
RTN4R,22,20228937,20255816
PAPOLG,2,60983364,61029221
EXTL1,1,26348270,26362954
ETV5,3,185764105,185826901
ARPC4-TTLL3,3,9834231,9878040
IL9,5,135227934,135231516
PTGS2,1,186640943,186649559
PTGIR,19,47123724,47128354
FGF9,13,22245214,22278640
ESD,13,47345390,47371367
GPX3,5,150399998,150408554
RNF183,9,116059372,116061320
TEX37,2,88824168,88829103
NANP,20,25593572,25604648
TCTEX1D1,1,67218139,67244730
RALGPS2,1,178694299,178889237
THAP8,19,36525886,36545664
GGN,19,38874991,38878668
DAND5,19,13080431,13085567
UBE2E2,3,23244783,23632296
FAM227B,15,49620591,49913118
KNDC1,10,134973970,135039916
ARID2,12,46123619,46301819
CCER1,12,91345991,91348953
METTL7B,12,56075329,56078394
OIT3,10,74653338,74692787
TCEANC,X,13671306,13682247
CXorf22,X,35937850,36008269
FAM47B,X,34960912,34963034
SNX31,8,101585111,101661893
ZNF366,5,71739233,71803249
TMTC2,12,83080933,83528067
MIER3,5,56215428,56247954
RNF168,3,196195656,196230639
TRIM42,3,140396865,140419992
WBP2NL,22,42394728,42424477
CCDC116,22,21987085,21991616
SDE2,1,226170402,226187066
FSIP1,15,39892231,40075039
EXD1,15,41474930,41522895
ZNF781,19,38158649,38183216
SPRED1,15,38545051,38649450
ZNF383,19,37717365,37734574
ZNF567,19,37180301,37212225
SYNE3,14,95883830,95942173
WFIKKN2,17,48912604,48919709
GIMAP8,7,150147961,150176483
SLC22A15,1,116519118,116612675
SOX18,20,62679078,62680979
PRKD1,14,30045686,30396899
MUC5B,11,1244294,1283406
EPHA7,6,93949739,94129300
EPHA4,2,222282746,222437010
OLIG1,21,34442449,34444728
LOC643669,19,39399619,39402798
SH3PXD2B,5,171760502,171881527
CSNK1G2,19,1941160,1981336
MYEOV,11,69061621,69064754
ZNF704,8,81540685,81787016
C15orf56,15,40542865,40545110
ANKRD34A,1,145470507,145475647
CYS1,2,10196925,10220538
SPIDR,8,48173488,48648563
KBTBD2,7,32907777,32931468
FAM98A,2,33808728,33824362
TOX4,14,21945334,21967319
HEATR5A,14,31760993,31889788
MRPL54,19,3762664,3767563
RNU6-53P,10,110930414,110999490
REP15,12,27849427,27850566
RGP1,9,35749276,35753264
SHISA3,4,42399855,42404504
ZDHHC19,3,195924322,195938300
LINS,15,101109427,101142445
C15orf59,15,74032140,74043816
C1orf127,1,11006529,11042094
AXIN2,17,63524682,63557740
USP9Y,Y,14813159,14972768
FAM171A2,17,42431100,42441235
OLFML1,11,7506599,7532606
KANK3,19,8387467,8408146
MORN5,9,124922189,124962367
MMS22L,6,97590036,97731052
HK3,5,176307869,176326333
PCYT1A,3,195965252,196014584
OXA1L,14,23235730,23240998
MIR548F1,1,186029866,186446655
MIR1305,4,183090445,183090531
MIR1304,11,93466839,93466930
MIR1291,12,49048226,49048313
MIR1243,4,114028018,114028111
MIR1208,8,129162361,129162434
MIR1205,8,128972878,128972941
MIR663B,2,133014538,133014653
MIR1203,17,46233788,46233873
MIR1226,3,47891044,47891119
MIR1200,7,36958961,36959037
MIR1206,8,129021143,129021202
MIR1182,1,231155573,231155670
MIR1237,11,64136073,64136175
MIR1229,5,179225277,179225346
MIR1181,19,10514133,10514214
MIR1234,8,145625475,145625559
MIR1179,15,89151337,89151428
MIR759,13,53384184,53384275
MIR2113,6,98472406,98472495
MIR1298,X,113949649,113949761
MIR670,11,43581205,43581303
MIR762,16,30905223,30905306
MIR1180,17,19247818,19247887
MIR1185-1,14,101509313,101509398
MIR1283-1,19,54191734,54191821
MIR449C,5,54468089,54468181
MIR1185-2,14,101510534,101510619
MIR1323,19,54175221,54175294
MIR761,1,52302015,52302074
MIR1468,X,63005881,63005967
MIR320B1,1,117214370,117214449
MIR1264,X,113887129,113887198
MIR452,X,151128099,151128184
GABRG1,4,46037786,46126082
RIMKLB,12,8850517,8929787
HEG1,3,124684553,124774802
TARM1,19,54573200,54584634
SHC2,19,416582,460996
LOC100505715,19,44395955,44405955
LOC100505658,5,140937877,140944827
LOC100505622,19,42636780,42641251
LOC100505545,4,147030606,147043065
LOC100505540,10,98862512,98863504
LOC100505768,1,87819209,87837338
LOC100507156,8,23193720,23223638
LOC100505716,2,28530557,28533326
TMPRSS4-AS1,11,117886486,117957508
MIR497HG,17,6919136,6922973
LOC100507205,11,42209292,42275240
LOC100507377,12,74526955,74686411
LINC00707,10,6821559,6884868
LOC100507091,12,123565930,123569291
DLG1-AS1,3,197025117,197030621
C1orf63,1,25568739,25573985
PDXP,22,38054736,38062939
C16orf62,16,19566736,19712485
CIAPIN1,16,57462086,57481369
COQ9,16,57481336,57495187
ACKR3,2,237478379,237490994
SLC17A7,19,49932654,49944808
AKR1B10,7,134212343,134226166
MNT,17,2287353,2304258
SMG1P1,16,22448328,22503541
MIR7-3HG,19,4769116,4772568
LINC00469,17,71745408,71824676
MRGPRG-AS1,11,3239561,3244361
TMEM51-AS1,1,15438310,15478960
DKFZp779M0652,11,45792982,45793909
NKAPP1,X,119370308,119379122
ZNF738,19,21541734,21571384
LOC340074,5,134984371,134989624
LOC339568,20,37842423,37853391
KTN1-AS1,14,56042874,56046810
ESRG,3,54666150,54673884
HSD52,1,59597607,59612479
LOC285847,6,35694538,35704724
LOC285629,5,160358785,160365633
LOC285627,5,158875563,158893284
EID3,12,104697509,104698982
SNORD24,9,136216250,136216325
SNORD36B,9,136216948,136217019
PPID,4,159630278,159644552
POLR2K,8,101162838,101166230
LOC284757,20,58713547,58897314
DEFB122,20,30009241,30016983
ZNF724P,19,23406606,23433172
LNX1-AS2,4,54459122,54471548
LOC100507600,2,136577760,136580657
LOC646626,1,85742040,85743771
LOC729041,1,46899498,46911374
LOC644248,4,90757551,90763142
HTT-AS1,4,3064972,3076241
RNF152,18,59482303,59560304
CCDC83,11,85566143,85631051
MIR147A,9,123007256,123007328
CNBD1,8,87878675,88394955
ZNF749,19,57946692,57957191
GPR158,10,25464289,25891157
DEGS2,14,100612752,100626012
NAALADL2,3,174577110,175523428
C5orf48,5,125967413,125971974
TMPRSS11F,4,68918915,68995587
CD164L2,1,27705595,27709805
MIR744,17,11985215,11985313
MIR885,3,10436172,10436246
PPP6R1,19,55741146,55770038
FNBP1,9,132649465,132805473
MIR3157,10,97824071,97824156
ZNF469,16,88493878,88507165
UNQ6975,2,45401479,45482080
FAM92B,16,85131964,85146114
CCDC84,11,118868851,118886455
FOSL2,2,28615778,28637516
FOS,14,75745480,75748937
FAM155B,X,68725077,68752351
FILIP1,6,76017799,76203496
C15orf62,15,41062158,41064648
SYPL2,1,110009099,110024764
TMSB4X,X,12993225,12995346
NEUROG3,10,71331790,71333210
KRTAP13-1,21,31768391,31769138
MRPL17,11,6701615,6704632
ABHD4,14,23067146,23081265
HLX,1,221052742,221058400
MAGEE1,X,75648045,75651746
SLC24A6,12,113736570,113772925
CCDC170,6,151815174,151942328
NRSN2,20,327369,335512
CCDC176,14,74486058,74532796
TMEM62,15,43425721,43477341
VCPIP1,8,67542487,67579452
UBTD1,10,99258767,99330960
NAA25,12,112464492,112546635
MIR618,12,81329514,81329612
NEUROG1,5,134869971,134871639
KLRC4,12,10559982,10562356
ABCC6P1,16,18582569,18609607
FLJ46361,10,124516209,124557161
CMAS,12,22199109,22218606
ANLN,7,36429431,36493400
RNF114,20,48552913,48570422
NPTX1,17,78440632,78450404
MIR526A2,19,54230175,54230240
MIR518E,19,54233091,54233179
MIR518C,19,54211988,54212089
ADCY9,16,4012649,4166186
ADAMTSL5,19,1505016,1513188
DBX2,12,45408538,45444882
HES3,1,6304251,6305638
PRSS53,16,31094744,31100130
GLTPD2,17,4692253,4693884
DMRTA1,9,22446839,22452472
OR7C1,19,14909985,14910948
MIR4788,3,134156668,134156748
EPG5,18,43427573,43547305
NMNAT1,1,10003485,10045556
ARV1,1,231114822,231136479
COX7B,X,77154960,77160881
COX7A1,19,36641823,36643771
CCDC86,11,60609428,60618561
DCTPP1,16,30435018,30441373
BECN1,17,40962149,40976310
TPH1,11,18042083,18062335
SOX14,3,137483133,137485172
SUB1,5,32585604,32604185
LGI4,19,35615416,35626178
PPTC7,12,110972236,111021064
RHOXF1,X,119243010,119249847
WDR36,5,110427869,110466200
ORMDL3,17,38077295,38083884
LGI3,8,22004342,22014344
TUBBP5,9,141044564,141071885
LOC100271836,16,21458003,21513602
ETHE1,19,44010870,44031396
ACTC1,15,35080296,35087927
TDRD7,9,100174301,100258405
NOMO1,16,14927642,14990014
NANOS3,19,13988062,13991571
ALDH1A1,9,75515577,75568233
MARS,12,57881735,57910438
FCER1G,1,161185086,161189038
GPR31,6,167570359,167571319
GPR25,1,200842082,200843306
MCHR1,22,41075181,41078818
GPR22,7,107110501,107116125
C5orf55,5,441642,443258
TMEM245,9,111777414,111882225
C1QTNF4,11,47611215,47615961
TEKT3,17,15207128,15244958
C1QTNF2,5,159774774,159797648
P2RY1,3,152552735,152555843
MIR4257,1,150524404,150524490
MIR4256,1,113004391,113004455
MIR4313,15,76054555,76054656
MIR4312,15,69094188,69094264
MIR4311,15,66332570,66332670
MIR4317,18,6374359,6374424
MIR4251,1,3044538,3044599
MIR4310,15,42158692,42158749
MIR4320,18,47652868,47652933
MIR4258,1,154948168,154948259
MIR4308,14,55344830,55344911
MIR4324,19,49812053,49812125
MKRN3,15,23810453,23813166
CDK19,6,110931180,111136412
PDCD11,10,105156411,105206019
MAST1,19,12949258,12985766
DIP2C,10,320129,735608
DPM2,9,130697373,130700763
OR8K1,11,56113514,56114474
CALHM1,10,105213143,105218648
OR13C8,9,107331448,107332411
LINC00528,22,18260055,18262247
GDF6,8,97154557,97173020
CLEC2A,12,10065825,10084980
RPL7L1,6,42847670,42854731
SH2D6,2,85661917,85664152
VSTM1,19,54544079,54567207
TPRX1,19,48304499,48306861
NKPD1,19,45653007,45663408
CXCL17,19,42932694,42947136
C19orf54,19,41246760,41255828
MIR597,8,9599181,9599278
CT45A3,X,134883487,134891519
GATA1,X,48644981,48652717
CYP2F1,19,41620352,41634281
CYP2E1,10,135340866,135352620
CABP5,19,48532639,48547311
ZNF492,19,22817125,22850472
KIAA1468,18,59854523,59974355
KIAA1467,12,13197314,13236383
ERO1LB,1,236378421,236445339
ZNF865,19,56124958,56129907
ARL14EPL,5,115387162,115394827
PRR9,1,153190059,153191793
GAGE12J,X,49178515,49185866
SLIT2,4,20255234,20620788
C2CD4D,1,151810338,151813033
KIAA1984,9,139690789,139702193
LUZP6,7,135611502,135662204
ARSH,X,2924653,2951426
XKR9,8,71581599,71648177
GOLGA6C,15,75550898,75565796
C19orf71,19,3539154,3544028
SMIM13,6,11094265,11138969
C12orf73,12,104343980,104350993
AGT,1,230838271,230850336
LOC100132831,X,40690469,40692449
ROBO3,11,124735304,124751370
SNIP1,1,38000049,38019945
C10orf68,10,32856650,33171792
KCNU1,8,36641841,36793643
VWC2L,2,215276460,215440653
PPP1R2P9,X,42636616,42637486
C10orf126,10,29135336,29170826
SLC35E4,22,31031792,31043862
LCN2,9,130911731,130915734
TIGD2,4,90033967,90036052
ANGPTL2,9,129849627,129885044
STAP1,4,68424445,68472616
FBXW2,9,123519253,123555740
CHCHD5,2,113342035,113346617
CNP,17,40118758,40129754
ZIC5,13,100615274,100624178
SEC16B,1,177898241,177939050
PSKH2,8,87060690,87081851
SLC22A16,6,110745891,110797844
CCDC65,12,49297892,49315359
CABS1,4,71200670,71202833
ANKRD13A,12,110437234,110477235
NKD1,16,50582240,50674771
MYLK2,20,30407177,30422500
NEK9,14,75548817,75593778
AMIGO3,3,49754266,49757238
CXXC5,5,139028300,139062680
SNORA11C,X,47248048,47248175
MBD3L4,19,7037754,7040184
C17orf98,17,36991340,36997642
LINC00936,12,90102731,90105729
CDC23,5,137523336,137549032
SDC4,20,43953928,43977064
HEXA,15,72635777,72668520
ACVR2B,3,38495789,38534633
ZNF76,6,35227509,35263760
SSSCA1-AS1,11,65336690,65337884
IGSF9B,11,133778519,133826649
CRYBG3,3,97540883,97663830
OR1S1,11,57982216,57983194
GPR6,6,110300297,110301924
ATP6V0A2,12,124196864,124246301
TIMM9,14,58875369,58894232
TIMM13,19,2425621,2427875
TIMM10,11,57295935,57298232
PSD4,2,113931559,113960677
TBL2,7,72983276,72993013
CCDC78,16,772581,776473
ARSI,5,149675908,149682525
ISX,22,35462129,35483380
C12orf71,12,27233989,27235455
SLC35G6,17,7384720,7386383
ZNF878,19,12154619,12163782
GXYLT2,3,72937384,73024522
KIAA1147,7,141356527,141401953
PPM1N,19,46001730,46005764
PLIN4,19,4502191,4517716
MIR4281,5,176056439,176056501
OR7G2,19,9212944,9213982
ZNF24,18,32912177,32924426
SWAP70,11,9685627,9774507
CDC5L,6,44355250,44418161
CD70,19,6585849,6591163
CBR1,21,37442284,37445462
XRCC6,22,42017294,42060052
LOC100507389,3,142645516,142661378
UNC5B-AS1,10,72976980,72977985
LOC100130849,7,56943077,56949839
CCL21,9,34709001,34710164
THSD7B,2,137748461,138435287
MIR1293,12,50627924,50627995
MIR1227,19,2234060,2234148
FN3K,17,80693451,80709073
MMRN2,10,88695297,88717425
AGMAT,1,15898193,15911605
C12orf75,12,105724413,105765296
RNU6-52P,13,19717121,19717217
SPATA31A6,9,43624501,43630730
JTB,1,153946744,153950451
MGAT2,14,50087488,50090199
ANKRD33B,5,10564434,10657928
TMEM212,3,171561138,171577108
KRTAP21-3,21,32090842,32091095
KRTAP22-2,21,31962423,31962716
ARHGAP40,20,37230576,37279295
LIN52,14,74551655,74667117
SNTN,3,63638343,63650891
KLLN,10,89618917,89623194
SMIM4,3,52570620,52574586
FBRSL1,12,133067156,133161773
GNG5,1,84964005,84972262
GNB2,7,100271362,100276792
ASF1B,19,14230320,14247440
RFPL4AL1,19,56283170,56284545
POTEI,2,131220388,131266808
ZNF730,19,23299776,23330014
C19orf67,19,14192443,14196607
COQ3,6,99817347,99842082
FAM76B,11,95502105,95522954
C11orf40,11,4592652,4599050
C10orf82,10,118423206,118429481
TCP10L,21,33947150,33957845
DOCK11,X,117629871,117820123
BMS1,10,43277953,43330385
UQCRBP1,X,56763220,56764017
OR6K6,1,158724605,158725637
MEGF9,9,123363195,123476765
NWD1,19,16830786,16928774
PTPLAD2,9,21006364,21031635
C10orf120,10,124457224,124459338
ALYREF,17,79845710,79849462
LHFPL2,5,77781037,77944648
LHFP,13,39917028,40177356
DDX41,5,176938577,176943967
DDX55,12,124086671,124105482
USP37,2,219314973,219433084
PRR23C,3,138760943,138763734
FNDC7,1,109255555,109285367
KCNE2,21,35736322,35743440
NAP1L5,4,89617065,89619023
HTRA4,8,38831667,38846181
TMPRSS6,22,37461478,37499693
CMYA5,5,78985658,79096049
ATP13A1,19,19756009,19774503
ANKRA2,5,72848024,72861511
C12orf49,12,117153595,117175843
DDX43,6,74104284,74127289
PIGH,14,68056022,68067017
B3GNT2,2,62423261,62451866
